"Ensembl_ID","Gene","Frequency","Source","RNA_cell_enrichment","RNA_enriched_cell_types","RNA_tissue_enrichment","RNA_enriched_tissue_types","Protein_enrichment_tissue_type","Protein_enrichment_cell_type","Protein_enrichment_level","Tractability_sm","Tractability_ab","Tractability_PROTAC","Protein_class"
"ENSG00000111912","NCOA7",3,"Finngen, Patsy Preprint, NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transporters"
"ENSG00000138792","ENPEP",3,"Finngen, AZ Primary, KEGG RAAS","group enriched","Proximal tubular cells, Smooth muscle cells, Fibroblasts, Cardiomyocytes, Endothelial cells","low specificity",NA,"kidney","bowman's capsule, cells in glomeruli, proximal tubules (cell body)","High","Clinical","Predicted High","Unknown","CD markers, Enzymes, Plasma proteins, Predicted membrane proteins"
"ENSG00000164116","GUCY1A1",3,"Genebass Primary, Finngen, NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts, Cardiomyocytes, Endothelial cells","group enriched","Vascular, Heart muscle",NA,NA,NA,"Clinical","Unknown","Unknown","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
"ENSG00000002822","MAD1L1",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells, Endothelial cells","enhanced","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Disease related genes, Predicted intracellular proteins"
"ENSG00000002822","MAD1L1",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells, Endothelial cells","enhanced","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Disease related genes, Predicted intracellular proteins"
"ENSG00000008710","PKD1",2,"AZ Secondary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in tubules","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"ENSG00000069020","MAST4",2,"Finngen, NatGen Paper","group enriched","Endothelial cells, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Proximal tubular cells","low specificity",NA,NA,NA,NA,"Predicted","Unknown","Unknown","Enzymes, Predicted intracellular proteins"
"ENSG00000108590","MED31",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Vascular, Kidney",NA,NA,NA,"Discovery","Unknown","Unknown","Predicted intracellular proteins"
"ENSG00000118762","PKD2",2,"Genebass Primary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
"ENSG00000118762","PKD2",2,"Genebass Primary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
